0,1,2,3,4,5,6,7,8,9,10,12,13,14
0,0.5, 0.5, 0.5, 2.0,
1,0.99, 0.97, 0.98,152,
2, 0.97, 0.94, 0.95,35,
3, 0.83,0.89,0.86, 28,
4, 0.66, 0.33, 0.44, 6,
5, 0.94, 1.0, 0.96, 16,
6, 0.98, 0.98, 0.98, 1473,
7, 0.98, 0.97, 0.97, 69,
8, 0.94, 0.97, 0.95, 255,
9, 0.5, 1.0, 0.66, 2,
10, 0.97, 0.95, 0.96, 275,
12, 0.99, 0.99, 0.99,1010,
13, 1.0,0.5,0.666, 2,
14, 0.99, 0.99, 0.99, 501
