model,majority,rule based,feed forward,decision tree,random forest,naive bayes
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.5743781094527363,0.4069651741293532,0.9097014925373135,0.8875621890547263,0.8850746268656717,0.8293532338308458
std,0.010892852759110094,0.023654741456972276,0.00631762442746282,0.00539290631559175,0.007697387286948129,0.01257388254338318
max,0.585820895522388,0.43283582089552236,0.917910447761194,0.8955223880597015,0.8917910447761194,0.8470149253731343
