model,majority,rule based,feed forward,decision tree,random forest,naive bayes
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.40005227391531617,0.5478829064296915,0.9851019341348668,0.9812336644014635,0.9805541035023524,0.936800836382645
std,0.0054594342602345735,0.007749949525665121,0.0012670360317345278,0.0012175446627132381,0.0009351042247777209,0.0019853767919323605
max,0.40433873497124934,0.5561944589649764,0.9864087820177732,0.9824882383690539,0.98170412963931,0.9391008886565604
